GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Col11a1	100481_at	57.7	206
Zfp598	100482_at	1175.4	1531.5
Ifnar1	100483_at	1002.3	1343.4
Mmp13	100484_at	196.7	28.4
Ezh1	100486_at	909.1	641.1
Gba	100488_at	1599.7	1473.7
Pde7a	100489_at	375.2	417
Slc16a2	100491_at	71.9	101.3
Ap2a2	100492_at	441.3	1708.4
Fgf1	100494_at	76.1	37
Dvl2	100495_at	1241.5	783
Pam	100496_at	197.6	646.4
Stx3	100499_at	168.8	30.7
Fadd	100500_at	672.7	632.2
Nov	100507_at	125.7	7.1
Mfng	100508_at	407.3	425.4
Rnf19a	100509_at	1675.4	1542.9
Sncb	100510_at	525.5	746.8
Uchl5	100512_at	725.3	1347.7
Asap1	100513_at	6872	7342.3
Gna13	100514_at	1251.4	1834.1
Furin	100515_at	2840.6	2600.8
Chka	100516_at	649.1	465.2
Arf2	100518_at	125	11.5
Ovgp1	100521_at	115.5	84.5
Wbp5	100522_s_at	6641.1	9230.2
Wbp5	100523_r_at	542.2	1148.8
Trmt2a	100525_at	520.9	748.3
Ccdc56	100527_at	3539	2829.8
Ube2h	100528_at	954.8	780.5
Ube2h	100529_at	452	530.4
Ralgds	100530_at	1175.5	1511.1
Crem	100533_s_at	376.9	312.3
Eif4g2	100535_at	1575	1014.3
Sod1	100538_at	2818.1	9282.1
Acot7	100539_at	4759.8	5353.3
Lta4h	100540_at	3904.4	5292
Brd7	100543_s_at	1129.1	1586.8
Brd7	100544_at	212.4	503.4
Rbm4	100546_at	47.1	23.1
Rbm4b	100547_at	456.1	380.4
Pea15a	100548_at	381.9	1177.7
Cox6c	100550_f_at	18932.2	19026.3
Ifngr1	100552_at	651.4	400.1
Trim27	100553_at	1682.4	1586.3
Rcan1	100555_at	1659	743
Eif4b	100557_g_at	10161.3	10680
Dhx16	100559_at	593.1	759.5
Pafah1b1	100560_at	1941.2	1761.1
Iqgap1	100561_at	2711.5	2261.7
Ddt	100564_at	1810.1	1486.2
Gnpda1	100565_at	861.8	209.2
Fabp4	100567_at	15.3	64.3
Abce1	100568_at	3312	4379.3
Anxa2	100569_at	37445.1	52053.8
Nub1	100570_at	1279	565.9
Laptm4b	100571_at	3970.6	3036
Tm9sf2	100572_at	3729.8	2733.1
Gpi1	100573_f_at	2382.9	2310.3
Gpi1	100574_f_at	17666.1	13576.2
Naa10	100575_at	1222.3	1673.8
Pafah1b3	100576_at	2090.6	2142.3
Snrpd1	100577_at	2027.9	3024.2
Impdh2	100578_at	3799	5133.3
Clta	100579_s_at	5024.1	5636.8
