"","GSM144202","GSM144203","GSM144204","GSM144205","GSM144206"
"EHHADH:205222_at",7.67454539384587,8.55228483994351,7.75288236627309,8.54148386405427,8.63008507000212
"DEPDC5:205223_at",7.11270013274936,8.78790255939143,6.87528859822269,6.09592441999854,8.1853710292354
"SURF2:205224_at",9.83573463232109,9.5928307440545,9.31492306173917,9.81233777434737,9.61249994573944
"ESR1:205225_at",8.76719130302781,8.24317398347295,8.91408609701272,8.21819994369474,8.16892278185294
"PDGFRL:205226_at",9.57761765010799,9.80509894811724,9.67807190511264,9.78528898070402,9.65248649491816
"IL1RAP:205227_at",5.83035674741922,6.0574502721839,7.13955135239879,8.32777717058405,7.40429006444484
"RBMS2:205228_at",9.18512320736055,7.43962313755712,8.80283944093511,9.67842408259294,9.52649923913657
"COCH:205229_s_at",10.5568891897269,10.3766680618577,9.70528679027247,10.0714623625566,9.55478068666773
"RPH3A:205230_at",8.38413617244761,8.25219234012239,8.54457811733884,8.5725107596749,9.14491311343424
"EPM2A:205231_s_at",9.03369829875055,8.74550626586916,8.49944729748518,8.47411151394241,8.8743666501409
"PAFAH2:205232_s_at",10.133912814239,9.91199111369962,10.3319246204326,10.2622123238964,10.585432051593
"PAFAH2:205233_s_at",8.335836940378,8.12722055048807,8.29966594413018,8.52199295640167,9.23218105768664
"SLC16A4:205234_at",2.37851162325373,3.01792190799726,3.16992500144231,2.65535182861255,1.48542682717024
"KIF20B:205235_s_at",11.3779154346753,11.0893180569531,10.8320988460391,10.6282632550853,10.3866169764637
"SOD3:205236_x_at",9.70563238736142,10.0886557537505,9.77856999352952,9.41235813720898,10.1210154009614
"FCN1:205237_at",8.68474862042163,7.68790052248075,7.3327079336406,8.39574832817903,7.83289001416474
"TRMT2B:205238_at",10.3940338953678,10.3568920846367,10.7368246990989,10.6414195854296,10.5342055969736
"AREG:205239_at",13.2326607567903,13.7330682986451,13.6911437253176,13.5026205048612,14.4658915867191
"GPSM2:205240_at",11.6489417327513,11.4740607996427,11.0501207303854,11.133527564771,11.2686589550277
"SCO2:205241_at",11.2297801667333,11.3174126137649,11.1178378715499,11.3948377894287,11.4191701650285
"CXCL13:205242_at",4.03562390973072,4.12928301694497,4.92599941855622,6.10643207781693,5.17791779219584
"SLC13A3:205243_at",7.44790974874208,7.09592441999854,8.42206476617281,8.5713734359732,8.68474862042163
"SLC13A3:205244_s_at",5.36457243229586,5.01792190799726,6.00450139223494,5.92124588858559,5.41953889151378
"PARD6A:205245_at",9.36981542428391,9.57780644747015,9.12799432097639,9.351160098022,8.0703893278914
"PEX13:205246_at",9.66622400280318,9.5894638929561,9.63026712502677,10.3538084604745,9.51254295509686
"NOTCH4:205247_at",7.38887833881199,8.16490692667569,8.01290383323064,8.05419729438881,8.34429590791582
"DOPEY2:205248_at",8.33315535031062,8.877744249949,8.76619759730084,8.68264352028029,8.65391987311942
"EGR2:205249_at",7.00225245173138,8.99604972751976,7.5668151540109,7.52669484554198,7.32373033752135
"CEP290:205250_s_at",8.79116288855502,9.2576235579192,9.18437948621294,8.81922110355015,9.31673407097229
"PER2:205251_at",10.3577719108819,11.4866339350702,10.567385727497,11.7483605950743,11.1728650014591
"ZNF174:205252_at",9.40215936690663,9.57591736111815,9.10747864662662,9.74735382947806,9.26912667914942
"PBX1:205253_at",4.04439411935845,4.45285896471381,4.17791779219584,4.6667565918848,4.37851162325373
"TCF7:205254_x_at",8.1853710292354,8.19377174339668,9.21626083716506,8.76354436429392,7.76155123244448
"TCF7:205255_x_at",11.6778957841284,11.5047196934354,11.8419573990995,11.3339938827614,11.7080492517022
"ZBTB39:205256_at",9.73843008775478,9.62278396615612,9.58233018791316,9.48220292629595,9.16037568743582
"AMPH:205257_s_at",8.23983716874035,7.99604972751976,8.7515440590891,8.82686622653697,8.35226417325832
"INHBB:205258_at",7.68229237143083,6.99095486039699,7.80219321694183,7.66106547980695,6.63517394667492
"NR3C2:205259_at",7.62351574149055,8.31605520889049,7.99095486039699,7.77478705960117,8.64709860726341
"ACYP1:205260_s_at",11.6746777937029,11.7059347169174,11.8742129348309,11.6532929453828,12.1392315707194
"PGC:205261_at",9.62205181945638,9.23697088625934,9.43796008833447,9.68492390686141,9.66799853567253
"KCNH2:205262_at",8.35887093968562,8.77511640443559,8.4520352735462,8.99038765180274,9.38866312361939
"BCL10:205263_at",11.7621743819931,11.9481481823081,12.0881919605349,12.1163764540031,12.3966582926168
"CD3EAP:205264_at",11.9087678828492,11.5924103171126,11.4058860250496,11.949607882985,11.5822831386513
"LOC100996693///SPEG:205265_s_at",10.3481748675356,10.2875969593293,10.5427417049529,10.9715435539508,10.4798812895563
"LIF:205266_at",10.7864330040193,11.3998119593257,11.6516347523073,11.8604662585172,11.6772791913122
"POU2AF1:205267_at",7.12101540096137,8.06231602735572,4.71699089440494,6.37677657188298,7.3037807481771
"ADD2:205268_s_at",8.60325542454685,6.23074100262691,6.31469652565629,6.58496250072116,6.60139939053183
"LCP2:205269_at",6.71287086768991,6.06177619758669,6.90929308582382,5.10433665981474,5.6724253419715
"LCP2:205270_s_at",6.29829173062012,5.66391384211598,6.06824086131282,5.43962313755712,5.48542682717024
"CDK20:205271_s_at",9.18264264443705,9.22496636500027,9.4542992936199,9.28701971967815,9.13622215317019
"PRH1-PRR4///PRH2///PRH1:205272_s_at",5.22496636500027,5.10852445677817,5.28909670241999,5.2364926183813,5.22881869049588
"PITRM1:205273_s_at",11.7076179656266,11.7527151457524,12.0196254749298,11.7920988711539,12.2510681236899
"GTPBP1:205274_at",7.4446008137115,6.93781516880342,6.87528859822269,7.53294028837287,7.48623167798101
"GTPBP1:205275_at",5.5298209465287,6.55612281784117,5.31831684133498,5.90929308582382,5.42290574261218
"GTPBP1:205276_s_at",8.97068112787693,8.6006563078263,7.18982455888002,8.41278152533848,6.51569983828404
"PRDM2:205277_at",9.81634370528486,9.94046042886366,9.64475759251626,10.0424801864925,9.17617314910749
"GAD1:205278_at",8.46923479366766,8.65749710044411,9.06716542701711,8.80348537559595,8.65391987311942
"GLRB:205279_s_at",9.25219234012239,8.90689059560852,8.64853734589263,8.85237344958027,8.75755668893945
"GLRB:205280_at",3.15380533607904,3.26303440583379,3.58496250072116,4.14567745519564,3.76553474636298
"PIGA:205281_s_at",9.35513082082458,9.32012359804061,9.01038823531185,9.24935052362723,8.63408498320074
"LRP8:205282_at",11.3136766728574,10.9805680372892,11.0322524019603,11.4754801265955,11.2632105053202
"FKTN:205283_at",10.2940463132715,10.2617423523829,10.1816492238153,10.0633950812885,9.50104099556592
"URB2:205284_at",10.5153056054517,10.123604124141,10.2444827663304,10.5999128421871,10.3628205255343
"FYB:205285_s_at",6.66249036391378,8.4890451251148,9.12205144771389,9.16188768237689,8.75555526197214
"TFAP2C:205286_at",10.4125698468052,10.7601377628507,10.6441266697382,9.81057163474115,11.3567820686195
"TFAP2C:205287_s_at",8.64060646862391,7.5077946401987,8.58571370877817,7.99038765180274,8.76055363297574
