GENE_SYMBOL	ID_REF	VALUE	ABS_CALL
Ifrd2	104760_at	1018.5	P
Zfml	162409_r_at	53.1	A
Samd10	103479_at	1923.8	A
Kcnj6	92524_at	76.3	A
Cnga3	101706_at	-42	A
Dci	98527_at	898.8	P
H2-D4	101653_f_at	1137.5	P
Tsg101	94809_at	70.3	A
Krt17	161496_r_at	538.4	A
C1qtnf1	162487_f_at	197	A
Plekhb2	97915_at	1085.4	P
Hfe	104014_at	113.1	A
Cnr1	99892_at	-530.3	A
Kifap3	161604_r_at	19.6	A
Spink4	94358_at	-85.3	A
Kpnb1	93111_at	3601.1	P
Atp13a2	104433_at	499	P
Has2	98865_at	3980.7	P
Pax5	96993_at	980.1	A
Adam1a	102832_at	51.7	A
Psmb1	160875_at	5979.8	P
Pou1f1	98788_at	-61.7	A
Plxna2	95368_at	268.3	A
Osbpl1a	93317_at	290.9	A
Prss30	93709_at	-711.5	A
Cyp17a1	161721_f_at	124.2	A
Gfi1	103259_at	-153.2	A
Sel1l	92871_at	276.3	P
Ctsz	92633_at	1410.6	P
Blk	95893_at	97.4	A
Tgm2	93352_at	587.1	P
Tgs1	93911_at	580.3	P
Afp	101494_at	42.4	A
Kcnj8	102849_at	22.7	A
Atp11a	103899_at	2182.5	P
Sh3d19	103755_at	1885.3	P
Cyp2b13	102820_at	-91.5	A
Hoxb5	103666_at	123.1	A
Mertk	92698_at	23.1	A
Clgn	104029_at	58.8	A
Actb	AFFX-b-ActinMur/M12481_M_at	53659.8	P
Ubxn1	97240_g_at	3846.7	P
Ccdc12	94410_f_at	3185.7	P
Slc29a2	92950_at	-62.1	A
Rpia	103322_at	1012	P
Pola2	98006_at	507.9	P
Krtap13	94183_at	475.2	M
Fgfr2	162171_f_at	52	A
Otud4	94922_i_at	3926.4	P
Mdp1	95447_at	944	P
Lifr	103697_at	83.7	P
Faah	96795_at	119.1	A
Peg10	92269_r_at	195.8	P
Cecr5	99820_f_at	155.9	A
Apip	104752_at	1073.2	P
Lmbr1l	162190_r_at	-344.6	A
Fgf17	98730_at	113.3	P
Actn4	96343_at	4298.7	P
Myh2	92218_at	-50.9	A
Rpusd4	104758_at	356.1	P
Unc5c	103742_at	208.9	A
Dab2	98044_at	650.3	A
Eif4e	99097_at	113.8	A
Hoxc9	92891_f_at	28.5	A
Asns	95133_at	6296.5	P
Zbtb7b	160331_at	-112.6	A
Prpf39	161795_r_at	-33.8	A
Nfs1	95065_at	1941.8	P
Grina	99161_at	5892.3	P
Glrb	104449_at	-2.1	A
Tfrc	103957_at	978.6	P
Npm1	101634_at	12800.9	P
Srsf5	99628_at	4029.8	P
A030009H04Rik	160905_s_at	-45.3	A
Usp39	96646_at	637.3	P
Ccs	162382_f_at	-51.5	A
Myt1	95347_at	-101.2	A
S100a13	100960_g_at	2157.2	P
Zfp37	92974_at	85	A
Tpp2	161537_f_at	434.3	P
Eif2s3y	103674_f_at	96.8	A
Cdsn	104363_at	2051.6	P
Folh1	97089_at	-81.2	A
Igh-6	97577_f_at	-36.8	A
Bard1	94128_at	30.9	A
Fgf7	99435_at	144.2	A
Mark2	99458_i_at	3357.8	P
Adar	102741_at	56.5	A
Rcan3	102374_at	432.2	P
Col14a1	99476_at	104	A
Samd4b	100889_at	1161.6	P
Tmem176a	96605_at	1942.7	P
Flot1	95095_at	1123.8	P
Lta4h	100540_at	3904.4	P
R3hcc1	161751_f_at	139.4	A
Yif1a	99675_at	2994.3	P
Gja4	104729_at	-631.8	A
1110008P14Rik	96709_at	5072.6	P
Nlk	93935_at	249.5	P
Cdk14	93421_at	2127.5	P
Ambn	93692_f_at	-102.3	A
Tcf3	98040_at	490.8	M
Nup85	99662_at	1199.2	P
Prdx4	93495_at	6998.3	P
Lamp2	100136_at	3893.4	P
Usp34	102647_g_at	3287.6	P
Trove2	161416_r_at	-39.2	A
Cd97	97832_at	-39.7	A
0610012G03Rik	99166_at	1189.4	P
Dnm1	103030_at	1305.4	P
Ptpn20	93658_at	3.8	A
Fam109a	160598_at	10.9	A
Sec61a1	160291_at	5815	P
Adam12	92414_at	862.4	P
Pon3	93940_at	288.1	M
Vdac2	161255_at	-64.2	A
Slc22a17	95012_at	73.1	A
Ormdl3	98065_at	1231.2	P
Bai1	92528_at	-63.4	A
Pigu	93183_at	1099.7	P
Bet1	101401_at	295.3	P
Scn8a	104505_at	-142.8	A
Hpn	160639_at	219.7	A
Sfxn2	160967_at	343.1	P
Col12a1	92314_at	134	A
Bat3	93922_g_at	1836	P
Cav1	97849_at	375.6	A
Tbx15	102256_at	-123.5	A
Timp2	161515_i_at	-33.1	A
Prkd3	160632_at	539.9	P
Grwd1	161421_r_at	92.4	A
Cd6	92203_s_at	-85.3	A
Spink3	96630_at	17.9	A
Kcnma1	97759_at	47.8	A
Jmjd8	94520_at	18	A
Igf1	95545_at	1114.5	P
Gmfg	97384_at	-50.3	A
Cenpe	161586_f_at	17.2	A
Cpe	99642_i_at	8889	P
Tex19.1	102418_at	-144.9	A
Vapa	161516_r_at	8.4	A
Snx14	104651_at	715.3	P
Mycbp	102766_at	7	A
Spin1	99528_at	519.5	P
Itch	101905_at	4121.5	P
Slc39a4	162284_r_at	831.9	A
B2m	93088_at	25962.1	P
Mark1	161665_at	39.3	A
1810013D10Rik	97265_at	592.3	A
Pawr	93439_f_at	1287.8	P
Itga8	100314_f_at	58.9	A
Limch1	103743_at	13	A
Chrnb1	93705_at	-143.2	A
B4galnt1	103367_at	1.7	A
Sdcbp	93017_at	1044.9	P
Npy1r	93128_at	-46.3	A
Dmbt1	99479_at	144.5	A
Tspan31	98144_f_at	2764.3	P
Pld1	92475_g_at	214.2	P
Tln1	162089_r_at	1422.7	A
Zfp444	99466_at	373	P
C80993	97084_at	50.1	A
Kcnj2	98823_at	41.7	A
D2Ertd127e	100763_at	164.5	A
Higd2a	95105_at	3938.1	P
Dnm1	103031_g_at	1939.4	P
Blcap	98055_at	683.9	P
Syt7	100365_at	215.8	A
Sprr2f	94120_s_at	30.9	A
Cd74	101054_at	4.9	A
Sult1d1	160537_at	40.2	A
App	93063_at	13777.3	P
Asf1b	97364_at	1010.5	P
Zw10	104757_at	193.2	A
Eln	92207_at	112.7	A
Rnf44	160209_at	1135.2	P
Dffa	160866_at	589.8	P
Hap1	102323_at	556.7	A
