"","GSM1387702","GSM1387703","GSM1387700","GSM1387701"
"PLCD3:1552476_s_at",NA,NA,NA,NA
"IRF6:1552477_a_at",4.71534429535891,5.06479664591181,4.89627184880738,4.56864019541922
"IRF6:1552478_a_at",NA,NA,NA,NA
"PTPRC:1552480_s_at",2.92029330021101,1.64154602908752,2.82984955984469,3.28095631383106
"MAN1A2:1552481_s_at",NA,NA,NA,NA
"RAPH1:1552482_at",NA,NA,NA,NA
"SMCR8:1552484_at",NA,NA,NA,NA
"LACTB:1552485_at",NA,NA,NA,NA
"LACTB:1552486_s_at",NA,NA,NA,NA
"BNC1:1552487_a_at",NA,NA,NA,NA
"MPP4:1552489_s_at",0.739848102699327,1.52606881166759,2.05658352836637,3.53729606709084
"LACE1:1552490_at",NA,NA,NA,NA
"IDI2:1552491_at",NA,NA,NA,NA
"CYP11B1:1552493_s_at",NA,NA,NA,NA
"TAF8:1552494_at",NA,NA,NA,NA
"COBL:1552496_a_at",NA,NA,NA,NA
"SLAMF6:1552497_a_at",NA,NA,NA,NA
"ZSCAN20:1552498_at",3.0496307677246,3.73226919950145,3.52481592835751,3.32912359629157
"ZSCAN20:1552499_a_at",NA,NA,NA,NA
"GPBAR1:1552501_a_at",NA,NA,NA,NA
"RHBDL2:1552502_s_at",NA,NA,NA,NA
"FRAS1:1552503_at",NA,NA,NA,NA
"BRSK1:1552504_a_at",NA,NA,NA,NA
"CRB2:1552506_at",NA,NA,NA,NA
"KCNE4:1552507_at",NA,NA,NA,NA
"KCNE4:1552508_at",3.73335434061383,4.08151006812092,4.81659970653491,2.38404980679516
"CD300LG:1552509_a_at",2.41683974191283,1.42223300068305,2.63226821549951,2.8011586560937
"SLC34A3:1552510_at",NA,NA,NA,NA
"CPA6:1552511_a_at",NA,NA,NA,NA
"WBP2NL:1552514_at",4.58556349845569,3.75915583380027,4.19455988602261,4.17152710603881
"HIPK1:1552515_at",3.7158933705476,4.61999982982136,3.04264433740849,3.27202318906105
"HIPK1:1552516_a_at",4.29278174922785,4.51601514700366,4.55090066464752,4.75007048586569
"MTBP:1552518_s_at",NA,NA,NA,NA
"ACVR1C:1552519_at",3.81455042346181,3.24184018356467,4.09676785471469,3.82476785314329
"TMEM74:1552520_at",NA,NA,NA,NA
"TMEM74:1552521_a_at",2.39506279951758,2.9126498648972,0.189033824390017,2.68032435684402
"TIGD4:1552522_at",NA,NA,NA,NA
"TIGD4:1552523_a_at",NA,NA,NA,NA
"ART5:1552524_at",NA,NA,NA,NA
"FAM71C:1552526_at",NA,NA,NA,NA
"LINC01547:1552528_at",NA,NA,NA,NA
"NLRP11:1552531_a_at",NA,NA,NA,NA
"ATP6V1C2:1552532_a_at",1.77399632511117,3.90977310414164,3.44890095114513,3.16992500144231
"CLDN19:1552535_at",NA,NA,NA,NA
"VTI1A:1552536_at",NA,NA,NA,NA
"KIF6:1552538_a_at",NA,NA,NA,NA
"IQCD:1552540_s_at",5.50716034911752,5.69488019279919,5.98618336288137,5.9481335778404
"TAGAP:1552541_at",NA,NA,NA,NA
"TAGAP:1552542_s_at",3.73443866613717,3.48155728070859,4.27426166125705,3.17791779219584
"STON2:1552543_a_at",NA,NA,NA,NA
"SERPINA12:1552544_at",NA,NA,NA,NA
"LETM2:1552546_a_at",NA,NA,NA,NA
"BSND:1552548_at",5.27426166125705,5.25247621413522,4.58255600301406,5.12887075946512
"BSND:1552549_a_at",NA,NA,NA,NA
"CLEC4C:1552552_s_at",NA,NA,NA,NA
"NLRC4:1552553_a_at",NA,NA,NA,NA
"NLRC4:1552554_a_at",NA,NA,NA,NA
"PRSS36:1552555_at",2.58736499093646,0,0,3.44228003525258
"ZDHHC15:1552557_a_at",NA,NA,NA,NA
"RAI1:1552558_a_at",NA,NA,NA,NA
"CDK15:1552559_a_at",NA,NA,NA,NA
"ZNF570:1552562_at",4.06091204958787,4.43629511983936,2.28983446517751,3.16671544496642
":1552563_a_at",NA,NA,NA,NA
"NUDT9P1:1552564_at",3.69932952567316,4.5090623863619,4.57288966842058,4.84398384404833
"BTBD16:1552566_at",NA,NA,NA,NA
"RTP3:1552568_at",NA,NA,NA,NA
"RTP3:1552569_a_at",NA,NA,NA,NA
"TSPEAR:1552570_at",NA,NA,NA,NA
"MIPOL1:1552572_a_at",4.47443604325227,3.88655014732434,4.00450139223494,3.33771109212829
"MIPOL1:1552573_s_at",NA,NA,NA,NA
"C6orf141:1552575_a_at",NA,NA,NA,NA
"ALMS1P1:1552576_at",NA,NA,NA,NA
"MYO3B:1552578_a_at",NA,NA,NA,NA
"ADAM21:1552579_a_at",1.39506279951758,3.32768736417605,1.20789285164133,1.58976348698498
"TRIML2:1552580_at",NA,NA,NA,NA
"ABCC13:1552582_at",3.17472598770613,3.86195536414487,3,3.13586316536868
"ABCC13:1552583_s_at",NA,NA,NA,NA
"IL12RB1:1552584_at",0,2.65992455840238,2.91838623444635,1.65992455840238
"GTF2A1L:1552585_s_at",3.90014226035982,2.87970576628229,2.31903981556254,3.34766565630097
"TRPV3:1552586_at",NA,NA,NA,NA
"CNBD1:1552587_at",NA,NA,NA,NA
"CNBD1:1552588_a_at",NA,NA,NA,NA
"ABCC12:1552590_a_at",NA,NA,NA,NA
"MMP21:1552592_at",NA,NA,NA,NA
"TMEM190:1552594_at",NA,NA,NA,NA
"GAS2L2:1552596_at",NA,NA,NA,NA
"KCNG4:1552598_at",NA,NA,NA,NA
"PXT1:1552599_at",1.56559717585423,1.35049724708413,2.29865831556452,2.39506279951758
