"","GSM6207","GSM6208","GSM6209","GSM6210","GSM6211","GSM6212","GSM6213","GSM6214","GSM6215","GSM6216","GSM6217","GSM6218"
"Ndufa4l2:AA684929_f_at",5.57591736111815,5.69209237542757,NA,6.44625622988956,8.2460279805281,NA,7.45450493755737,4.00898878322726,6.22881869049588,7.21626083716506,NA,6.762880292917
"Ndufa4l2:AA684960_f_at",NA,NA,NA,NA,NA,NA,NA,NA,5.28169825009883,NA,NA,NA
"Fkbp2:AA684963_at",10.8816493260846,11.1421070573025,10.9789963960889,10.507695550598,10.7303852203214,10.6904345563951,10.7843894683921,11.6932255760255,10.805582668169,11.2660837583277,11.2219495619251,11.2212245895275
"Ndufs8:AA685112_at",10.4129931728179,10.7276652382921,10.4812949046311,10.0303912599595,9.91214085629572,8.66923941125265,9.92139467371859,11.0898476806892,10.7782414362425,10.4984503414363,10.3436298949591,10.4735028246538
"Nedd8:AA685152_r_at",8.30924896081662,8.59768014371589,7.57213175138666,8.35049724708413,7.68299458368168,7.61618123133188,7.6387978999517,8.15835722604901,8.973553878808,8.46515822966425,8.18586654531133,8.25502856981873
"Ndufa4l2:AA685376_f_at",NA,NA,NA,4.27798474729977,3.88752527074159,5.79181407116183,NA,NA,NA,NA,NA,NA
"Cyb5r1:AA685876_at",9.51392494155713,9.56128794516483,9.72860081064319,10.1061703169451,9.86108690599539,9.9091430473399,10.4705572006371,9.08958289312471,9.22303633790187,8.60510907383293,9.71819035587747,10.084011098455
"Hsp90b1:AA685903_at",12.846038797944,11.5211587307727,12.4538107717561,12.9742353173554,12.6250695327456,12.1679512172419,11.7527569526997,10.5508429618468,10.8866873138867,11.8555693066656,11.4630134134497,11.6791721744121
"Ndufs1:AA686031_at",9.07173049656741,8.93339559512077,9.02845864742548,8.38543103719352,8.43920755494128,9.00506308001346,8.76586620990054,7.29920801838728,7.50620838930675,8.74617838097141,9.07601387708528,9.04384754043891
"Sumo1:AA686579_at",9.80429238744274,10.1133514917567,9.69661984698429,9.71115071124326,9.65338252316937,9.43149760425805,9.82813648419411,10.3807857161141,10.2111582472802,10.3454052467178,10.1124395067816,10.1223103431907
